Model,Mean Squared Error (MSE),R^2 Score
Linear Regression,3.1573622346739516e-05,0.9999923546987565
Decision Tree,0.6672585825358853,0.838428647343288
Random Forest,0.7403973073918534,0.8207186874928574
K-Nearest Neighbors,3.3625484521531104,0.1857856668948985
Support Vector Machines,3.9999466553154224,0.031444767337635904
